1.561,54,44,16460,-4,-1,0
1.565,54,44,16460,-4,-1,0
1.569,132,-22,16466,-4,-1,0
1.585,-10,108,16386,-4,-1,-1
1.589,-6,-18,16468,-2,-1,0
1.593,30,-10,16442,-4,-1,0
1.597,-40,52,16428,-4,-2,0
1.601,-74,112,16454,-5,-1,0
1.61,28,-52,16404,-4,-1,0
1.614,102,-62,16370,-3,-2,0
1.625,-34,222,16404,-4,-2,0
1.628,68,54,16408,-4,-1,-1
1.637,34,8,16378,-6,-1,-1
1.64,94,-20,16374,-6,0,-1
1.644,94,-20,16374,-6,0,-1
1.648,-72,102,16430,-5,1,0
1.651,-150,188,16392,-5,1,-1
1.671,-146,64,16382,-2,-1,0
1.675,-146,64,16382,-2,-1,0
1.683,20,146,16386,-4,-1,0
1.687,-76,136,16424,-5,0,-2
1.691,34,50,16402,-5,1,-1
1.695,34,50,16402,-5,1,-1
1.698,-22,6,16326,-5,1,-1
1.702,54,74,16400,-5,0,0
1.725,-24,46,16312,-4,-2,-1
1.734,-42,0,16416,-4,-3,-2
1.738,42,-92,16370,-4,-3,-1
1.798,-54,-54,16468,-4,1,0
1.825,94,92,16376,-2,-1,1
1.873,-20,86,16406,-5,0,-1
1.877,-32,42,16396,-5,0,-2
1.885,118,-24,16388,-4,0,-1
1.959,48,18,16312,-5,-1,-2
1.97,56,12,16378,-3,-2,-1
1.974,56,12,16378,-3,-2,-1
1.983,46,0,16394,-3,0,-1
1.987,102,-26,16424,-4,1,0
1.991,12,74,16442,-5,2,0
2.01,54,-134,16368,-6,-1,-2
2.087,226,-180,16408,-3,-1,0
2.098,40,50,16422,-3,-1,-2
2.111,-98,-16,16370,-6,1,-1
2.115,-98,-16,16370,-6,1,-1
2.119,-94,86,16436,-6,2,-1
2.122,66,64,16406,-5,1,-1
2.146,-98,92,16420,-5,1,-1
2.15,-98,92,16420,-5,1,-1
2.159,-48,134,16402,-5,1,-1
2.163,-170,92,16420,-5,1,-2
2.166,-30,46,16322,-6,1,-2
2.17,-74,52,16384,-5,0,-1
2.174,-74,52,16384,-5,0,-1
2.186,-6,74,16460,-6,0,-1
2.19,-6,74,16460,-6,0,-1
2.194,-20,64,16402,-6,1,-1
2.24,-58,78,16432,-6,-1,-1
2.259,-18,16,16350,-4,0,-1
2.267,-12,24,16398,-6,1,-2
2.278,-32,20,16416,-3,-3,1
2.287,6,48,16378,-3,-2,-2
2.291,100,10,16386,-3,-1,-1
2.295,100,10,16386,-3,-1,-1
2.299,124,56,16406,-3,-1,-2
2.303,158,-8,16490,-5,0,-1
2.311,8,18,16400,-4,0,-1
2.316,112,-22,16350,-3,-1,-1
2.319,112,-22,16350,-3,-1,-1
2.323,-32,104,16400,-3,-1,0
2.327,-32,108,16408,-3,-1,0
2.336,-14,28,16358,-5,0,-2
2.34,-14,28,16358,-5,0,-2
2.343,114,-68,16348,-7,2,-1
2.347,52,36,16366,-7,1,-2
2.351,-4,94,16338,-6,1,-1
2.36,-186,132,16450,-5,0,-1
2.363,-52,76,16374,-4,-1,-1
2.367,-24,90,16442,-4,-2,-1
2.391,-32,54,16406,-5,0,-1
2.395,-32,54,16406,-5,0,-1
2.402,26,50,16428,-5,-2,-2
2.411,34,6,16406,-5,-2,-2
2.415,34,6,16406,-5,-2,-2
2.419,-38,102,16366,-5,-1,-1
2.422,6,106,16344,-5,-1,-2
2.426,-66,72,16384,-5,-2,-2
2.439,-74,114,16442,-4,-1,1
2.443,36,56,16404,-3,-2,0
2.447,54,132,16402,-3,-3,0
2.451,60,92,16354,-3,-1,-1
2.46,66,2,16322,-4,0,-1
2.464,-44,64,16360,-5,1,-1
2.484,-176,128,16366,-6,0,-1
2.492,106,-114,16478,-6,0,-1
2.496,-10,-16,16382,-6,0,-4
2.508,-2,10,16402,-6,1,-2
2.527,-22,20,16498,-5,0,-1
2.558,84,-30,16398,-5,-1,-2
2.59,92,-46,16406,-4,-2,-1
2.594,92,-46,16406,-4,-2,-1
2.602,-10,-58,16428,-4,-2,-2
2.61,114,-192,16372,-5,-2,-1
2.614,114,-192,16372,-5,-2,-1
2.618,26,-50,16354,-3,1,-1
2.622,54,22,16356,-3,3,0
2.634,-162,48,16440,-6,1,1
2.645,182,2,16450,0,-5,0
2.653,108,60,16394,-2,-3,0
2.662,12,52,16414,-7,1,-2
2.666,140,-40,16364,-7,1,0
2.674,122,-108,16362,-4,0,0
2.683,-56,74,16412,-1,-2,-1
2.694,-60,96,16376,-5,-2,-2
2.715,12,-12,16438,-4,-1,-1
2.718,6,112,16414,-5,-2,-1
2.726,78,48,16446,-6,-1,-2
2.735,38,-18,16422,-5,0,-1
2.742,80,-22,16372,-4,0,-1
2.746,8,98,16370,-5,0,0
2.759,16,78,16414,-4,-1,0
2.778,42,30,16380,-5,0,-1
2.787,42,28,16368,-6,-1,-1
2.791,-26,100,16400,-5,-1,-1
2.795,-26,100,16400,-5,-1,-1
2.802,60,36,16378,-4,-2,-2
2.811,92,-78,16394,-6,-1,-1
2.834,-94,154,16352,-3,-2,-2
2.842,-64,62,16420,-4,-1,-2
2.85,-92,54,16358,-5,-1,-1
2.858,-32,100,16402,-6,2,0
2.877,24,110,16412,-5,0,-1
2.89,192,-60,16368,-5,2,0
2.909,-16,-8,16348,-4,1,-1
2.913,-74,84,16364,-4,0,0
2.917,2,130,16420,-4,-1,-1
2.921,-32,104,16434,-4,-2,-1
2.924,-32,104,16434,-4,-2,-1
2.933,52,-32,16344,-6,1,0
2.937,92,4,16368,-6,2,0
2.941,22,2,16386,-6,2,-2
2.964,72,-76,16452,-5,0,-1
2.984,42,20,16432,-6,1,-1
2.996,-34,-76,16426,-5,0,0
3.008,-34,100,16344,-3,-2,-1
3.02,54,18,16354,-6,0,-2
3.028,30,4,16438,-9,3,-3
3.036,-48,10,16404,-8,3,-3
3.04,46,-62,16362,-6,2,-3
3.044,46,-62,16362,-6,2,-3
3.048,18,-72,16374,-7,1,-3
3.051,50,48,16374,-8,1,-3
3.061,72,56,16378,-9,1,-5
3.064,72,56,16378,-9,1,-5
3.072,16,-26,16390,-10,1,-16
3.085,80,-16,16402,-8,2,-46
3.093,30,30,16430,-6,3,-57
3.109,58,10,16438,-1,0,-102
3.116,-120,128,16408,1,2,-135
3.12,-30,154,16418,1,3,-149
3.136,-16,46,16454,1,-1,-189
3.147,-38,174,16396,3,-3,-198
3.167,-8,-16,16410,-1,2,-191
3.202,-28,128,16488,-2,1,-135
3.223,-52,114,16418,-7,8,-105
3.226,-96,30,16480,-7,8,-101
3.236,28,136,16420,-8,6,-105
3.239,28,136,16420,-8,6,-105
3.244,76,12,16400,-8,6,-109
3.251,148,14,16404,-6,6,-129
3.264,22,-28,16368,-7,4,-155
3.275,92,80,16418,-1,0,-194
3.288,20,140,16426,0,4,-216
3.312,-102,-132,16394,-2,0,-244
3.316,-132,-42,16422,4,0,-243
3.32,-132,-42,16422,4,0,-243
3.324,-104,-8,16348,8,-1,-239
3.328,-74,124,16398,7,-3,-233
3.337,46,-8,16402,-6,-4,-215
3.352,-66,-60,16364,-6,4,-174
3.361,-150,58,16392,-2,-6,-159
3.365,4,-10,16364,-4,-9,-154
3.369,4,-10,16364,-4,-9,-154
3.372,36,-46,16426,-7,-7,-147
3.39,-170,100,16414,2,1,-114
3.398,-200,116,16404,-1,-2,-106
3.41,-76,104,16408,-7,5,-75
3.414,-76,104,16408,-7,5,-75
3.435,8,-38,16384,-15,-4,-59
3.447,60,-20,16408,-7,3,-76
3.467,134,-14,16398,-1,-6,-139
3.471,176,0,16374,-1,-2,-152
3.483,-30,22,16334,-1,3,-178
3.488,-66,122,16378,-6,1,-194
3.496,148,-112,16438,-13,5,-235
3.509,-124,24,16476,-2,6,-287
3.517,178,-114,16410,0,-1,-351
3.525,212,-206,16414,-2,4,-416
3.534,114,-290,16358,-1,6,-448
3.547,90,-20,16416,6,-1,-541
3.551,56,-112,16392,5,-1,-569
3.56,114,-42,16338,6,1,-596
3.564,52,-14,16424,7,0,-624
3.567,22,10,16394,7,-1,-654
3.571,8,0,16372,7,0,-682
3.575,82,-90,16376,8,1,-711
3.584,114,-180,16394,10,-2,-739
3.588,100,-142,16406,13,-5,-765
3.592,158,-158,16402,15,-8,-791
3.596,324,-242,16342,15,-11,-815
3.6,282,-250,16378,18,-8,-840
3.609,154,-164,16418,20,-6,-863
3.613,80,44,16424,21,-5,-885
3.617,12,10,16404,20,-9,-906
3.621,-48,-2,16394,17,-16,-925
3.625,-246,126,16420,13,-25,-943
3.634,-48,-98,16432,12,-35,-954
3.638,-84,-112,16450,14,-42,-962
3.642,2,-110,16414,19,-48,-966
3.646,90,-28,16354,24,-51,-969
3.65,190,-24,16418,25,-51,-969
3.659,550,284,16252,25,-45,-965
3.663,822,412,16206,12,-23,-955
3.667,490,146,16320,-2,9,-943
3.671,-38,-178,16440,-3,30,-928
3.675,-166,-130,16446,6,30,-913
3.683,-310,94,16404,11,17,-903
3.687,-134,274,16348,6,4,-893
3.691,230,-138,16422,-1,2,-875
3.696,348,-394,16412,4,8,-850
3.7,366,-192,16432,16,17,-823
3.709,166,252,16302,22,25,-798
3.713,-70,450,16404,12,29,-776
3.717,-334,200,16436,-4,24,-761
3.721,-342,-176,16484,-11,13,-750
3.725,-126,-118,16476,-4,2,-742
3.734,128,170,16314,3,-7,-739
3.738,282,214,16332,-3,-3,-743
3.742,228,-6,16374,-12,6,-748
